26-06-2015 11:36:52,879 [main] INFO  - Started @1749ms
26-06-2015 11:36:52,897 [main] INFO  - Stopped ServerConnector@3e8776a8{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:36:52,898 [main] INFO  - Stopped o.e.j.s.h.ContextHandler@1b85167d{/static,null,UNAVAILABLE}
26-06-2015 11:36:52,905 [main] INFO  - jetty-9.2.z-SNAPSHOT
26-06-2015 11:36:52,906 [main] INFO  - Started o.e.j.s.h.ContextHandler@20d417bd{/static,null,AVAILABLE}
26-06-2015 11:36:52,907 [main] INFO  - Started ServerConnector@44628a21{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:36:52,907 [main] INFO  - Started @1777ms
26-06-2015 11:36:52,933 [main] INFO  - Stopped ServerConnector@44628a21{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:36:52,934 [main] INFO  - Stopped o.e.j.s.h.ContextHandler@20d417bd{/static,null,UNAVAILABLE}
26-06-2015 11:40:40,333 [main] INFO  - Logging initialized @161ms
26-06-2015 11:40:40,408 [main] INFO  - jetty-9.2.z-SNAPSHOT
26-06-2015 11:40:40,427 [main] INFO  - Started o.e.j.s.h.ContextHandler@592bf469{/static,null,AVAILABLE}
26-06-2015 11:40:40,447 [main] INFO  - Started ServerConnector@61f3318a{HTTP/1.1}{0.0.0.0:8892}
26-06-2015 11:40:40,447 [main] INFO  - Started @280ms
26-06-2015 11:40:41,884 [main] INFO  - Logging initialized @1176ms
26-06-2015 11:40:41,959 [main] INFO  - jetty-9.2.z-SNAPSHOT
26-06-2015 11:40:41,974 [main] INFO  - Started o.e.j.s.h.ContextHandler@64d40911{/static,null,AVAILABLE}
26-06-2015 11:40:41,992 [main] INFO  - Started ServerConnector@29240739{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:40:41,992 [main] INFO  - Started @1286ms
26-06-2015 11:40:42,426 [main] INFO  - Stopped ServerConnector@29240739{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:40:42,427 [main] INFO  - Stopped o.e.j.s.h.ContextHandler@64d40911{/static,null,UNAVAILABLE}
26-06-2015 11:40:42,434 [main] INFO  - jetty-9.2.z-SNAPSHOT
26-06-2015 11:40:42,436 [main] INFO  - Started o.e.j.s.h.ContextHandler@2d6bcf8a{/static,null,AVAILABLE}
26-06-2015 11:40:42,438 [main] INFO  - Started ServerConnector@52d92404{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:40:42,439 [main] INFO  - Started @1733ms
26-06-2015 11:40:42,460 [main] INFO  - Stopped ServerConnector@52d92404{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:40:42,460 [main] INFO  - Stopped o.e.j.s.h.ContextHandler@2d6bcf8a{/static,null,UNAVAILABLE}
26-06-2015 11:40:42,465 [main] INFO  - jetty-9.2.z-SNAPSHOT
26-06-2015 11:40:42,467 [main] INFO  - Started o.e.j.s.h.ContextHandler@3a893bd6{/static,null,AVAILABLE}
26-06-2015 11:40:42,469 [main] INFO  - Started ServerConnector@7b77ca0{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:40:42,469 [main] INFO  - Started @1763ms
26-06-2015 11:40:42,501 [main] INFO  - Stopped ServerConnector@7b77ca0{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:40:42,502 [main] INFO  - Stopped o.e.j.s.h.ContextHandler@3a893bd6{/static,null,UNAVAILABLE}
26-06-2015 11:40:42,504 [main] INFO  - jetty-9.2.z-SNAPSHOT
26-06-2015 11:40:42,512 [main] INFO  - Started o.e.j.s.h.ContextHandler@6a80be6e{/static,null,AVAILABLE}
26-06-2015 11:40:42,513 [main] INFO  - Started ServerConnector@c4e89a5{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:40:42,513 [main] INFO  - Started @1807ms
26-06-2015 11:40:42,537 [main] INFO  - Stopped ServerConnector@c4e89a5{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:40:42,538 [main] INFO  - Stopped o.e.j.s.h.ContextHandler@6a80be6e{/static,null,UNAVAILABLE}
26-06-2015 11:40:42,541 [main] INFO  - jetty-9.2.z-SNAPSHOT
26-06-2015 11:40:42,542 [main] INFO  - Started o.e.j.s.h.ContextHandler@579f707b{/static,null,AVAILABLE}
26-06-2015 11:40:42,543 [main] INFO  - Started ServerConnector@5eed56c3{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:40:42,543 [main] INFO  - Started @1837ms
26-06-2015 11:40:42,565 [main] INFO  - Stopped ServerConnector@5eed56c3{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:40:42,566 [main] INFO  - Stopped o.e.j.s.h.ContextHandler@579f707b{/static,null,UNAVAILABLE}
26-06-2015 11:42:48,586 [main] INFO  - Logging initialized @164ms
